,TT_mean,TT_CP,TT_Tucker
1,10.019326812529552,0.16640759129812094,0.16530194306756352
2,3.0438988471103468,0.17793844091857777,0.1603568962669034
3,0.8164054135369224,0.19116845404511382,0.18216217664430162
4,3.3979867203072756,0.17439336318706808,0.1642508420185791
5,81.58606193972862,0.17390477823811545,0.16280742153702185
6,9.030383621475124,0.1644615573540712,0.15869579755626465
7,12.690069812303967,0.1907424826480608,0.17808482003833062
8,14.546461845999634,0.18677456808869947,0.18000886763090404
9,31.268066399269195,0.18603823731720232,0.18396312813256288
10,6.829435804954138,0.1640096026329771,0.16296698505220072
11,2.605035101373183,0.19728385558627468,0.18760791556896175
12,4.6048975444797335,0.16172878936106322,0.1531830298300533
13,7.173651563641039,0.1851017852054089,0.1722236539492463
14,9.188489690360756,0.1900577719549257,0.1787327400417308
15,8.755051778326143,0.17241672639302721,0.16587002828093111
16,7.860460264252095,0.18023172628352388,0.16905879432712687
17,19.148928931075403,0.17076834000499677,0.17035704123313605
18,7.721772543150376,0.16475614383352338,0.15568938200271512
19,5.041035303992304,0.17893055611737546,0.17268929683776627
20,2.585755060020539,0.1870584066642514,0.1771454283686523
