,TT_mean,TT_CP,TT_Tucker
1,0.8546663345368009,0.013340547336581179,0.011890500352188202
2,0.38633852400745705,0.01792150111164391,0.020781407259983987
3,0.7572062733685235,0.011104923899853441,0.18626051725338788
4,0.8092156995633192,0.013462117240946566,0.00861901582686518
5,0.9531576522644406,0.013974349665541619,0.010555106078506621
6,1.1836285681509597,0.015764195770273152,0.011721583861641604
7,0.7287620033384207,0.011038351522041918,0.00937567883981104
8,0.8473968031103349,0.01216767616565428,0.010802125714897703
9,1.4366088004121502,0.024469879121651886,0.016583623488151778
10,0.4082638337595716,0.01717626590501173,0.016257669986644272
11,1.2186425416185869,0.03166338226734179,0.026198065963858996
12,0.88690105860715,0.012721843417114319,0.01702289930527337
13,1.4179363997503658,0.014396917465028239,0.01152972042696197
14,0.7873739163092246,0.020469919497823622,0.012800347810223859
15,0.5382331502923893,0.018559450483670754,0.017332596823107064
16,0.2951464593410822,0.009901717943287487,0.007565123579293629
17,0.46684718026040833,0.005987255333204421,0.006353014497764173
18,0.29876198844290586,0.014138675527043891,0.01103970655330125
19,0.6039358315569225,0.01775333524198306,0.015459890773715667
20,0.33478769211624093,0.019695923009096006,0.023111894897423067
