,TT_mean,TT_CP,TT_Tucker,GPST-low,GPST-high,GPST-Hard,GP,CP,Tucker
1,0.2572610702801232,0.03318461667608375,0.026431474647913906,0.23273498514346602,0.23627474867012035,0.26070229093776354,0.37872560289886414,0.23664886254815334,0.2374663865662428
2,0.2583766507373001,0.028490961538373293,0.031599307651148774,0.2395228612309402,0.23928428841892455,0.26193513418206665,0.3274370003097116,0.25092203642078204,0.25515497749264787
3,0.5181839925635671,0.028445206977054976,0.027411256442736943,0.23278276056540756,0.24058020085947612,0.2615189961870536,0.3071085201025613,0.23609669310399256,0.26068019445947643
4,0.21432014350249554,0.031520479195611455,0.020392012170082116,0.23782536469646512,0.23157087563660472,0.2464045609736897,0.28896217301903754,0.2353121812744974,0.23835334336142858
5,0.8451717333401617,0.013746931550934172,0.006438590261304738,137.1620111419429,0.21653314920294228,,33042.25593422775,0.2190268404857204,0.21937191379670268
6,3.047566610429584,0.03302218750197744,0.023333742016015825,0.23862062158298492,0.24931810280749225,0.26107750745027636,9.686431981674914,0.2516222265103682,0.2519770334373474
7,0.35170370215666175,0.03275996661838577,0.024960470503779926,0.2594326609434743,0.27874607601318907,0.30618502891824545,0.3661691133070982,0.2749527917633485,0.27871576115254515
8,0.37694082002501106,0.028153237372794924,0.024377907612633053,0.20638885837196638,0.21381834485536388,0.25693062277622114,0.3770914978740363,0.2070207853735205,0.21906148580470172
9,0.3693470275011657,0.024563027673750005,0.021011444690462344,0.22682196998170787,0.23090473828220046,4.372129423250009e+208,0.3736724452284884,0.22914038903369813,0.24179736540647764
10,0.262583768562378,0.03943755442544636,0.031918073150181754,0.23238191803509894,0.24304249023204177,0.2565223877741596,0.3160009190120226,0.23626432145940165,0.24324606370674448
