,sm,noisevar,seed,depth,rank,MSE_mean,MSE_cp,MSE_tucker
0,variance,0.1,38,3,1,0.6975292561948637,0.7880554389412742,0.7905963499219367
1,variance,0.1,38,3,2,0.6975292561948637,0.663399902227718,0.5376636435012292
2,variance,0.1,38,3,3,0.6975292561948637,0.5651817223679461,0.5376638103586557
3,variance,0.1,38,3,4,0.6975292561948637,0.5556278375434226,0.5609167431698925
4,variance,0.1,38,3,5,0.6975292561948637,0.555628780682646,0.5609147210981346
