,noisevar,depth,rank,MSE_mean,MSE_cp,MSE_tucker
0,0.01,0,1,1.0517047509725739,1.1034245240749578,1.1039869577258818
1,0.01,0,2,1.0517047509725739,1.112387652840972,1.1132115550718127
2,0.01,0,3,1.0517047509725739,1.0155386017230852,1.0249716180684099
3,0.01,0,4,1.0517047509725739,0.9601634988089887,1.0249662429055393
4,0.01,0,5,1.0517047509725739,0.960163489825012,0.9768330144311301
