depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.1,lowrank_reg_BB,1.2059208411087599,1.1686267032230924,1.1699754167537135
0,2,0.1,lowrank_reg_BB,1.2059208411087599,1.456396594149512,1.4448228746065712
0,3,0.1,lowrank_reg_BB,1.2059208411087599,1.5267334361698754,1.5082504510364443
0,4,0.1,lowrank_reg_BB,1.2059208411087599,1.5526970753303457,1.5082513955057801
0,5,0.1,lowrank_reg_BB,1.2059208411087599,1.552707814331333,1.5082510786631973
1,1,0.1,lowrank_reg_BB,1.2460625876636922,0.5716829665613786,0.5714757515006189
1,2,0.1,lowrank_reg_BB,1.2460625876636922,0.5959325657770257,0.5948112487635296
1,3,0.1,lowrank_reg_BB,1.2460625876636922,0.5612614370023323,0.5608440557870685
1,4,0.1,lowrank_reg_BB,1.2460625876636922,0.5086430188471209,0.5207779369860164
1,5,0.1,lowrank_reg_BB,1.2460625876636922,0.5086357291522875,0.5185123397295613
2,1,0.1,lowrank_reg_BB,1.2269274331805569,0.5401477836765531,0.5397640569784384
2,2,0.1,lowrank_reg_BB,1.2269274331805569,0.5405649545639073,0.5394331108115927
2,3,0.1,lowrank_reg_BB,1.2269274331805569,0.49180880401009447,0.5440930664648793
2,4,0.1,lowrank_reg_BB,1.2269274331805569,0.4858113754233468,0.49915291278565826
2,5,0.1,lowrank_reg_BB,1.2269274331805569,0.485811559272172,0.4991488556019478
3,1,0.1,lowrank_reg_BB,1.1970525563719328,0.6111690522352089,0.6105417391474942
3,2,0.1,lowrank_reg_BB,1.2573590962507988,0.554099635032432,0.552462871772275
3,3,0.1,lowrank_reg_BB,1.3119274548479953,0.5722359452499426,0.5791528012281334
3,4,0.1,lowrank_reg_BB,1.3119274548479953,0.6030942486842957,0.5751633124231194
3,5,0.1,lowrank_reg_BB,1.3119274548479953,0.6030981351962059,0.575165337661864
4,1,0.1,lowrank_reg_BB,1.428543965885417,0.9678375358459129,0.9654717923081827
4,2,0.1,lowrank_reg_BB,1.4805565355638997,0.6025621666840325,0.5701058965764797
4,3,0.1,lowrank_reg_BB,1.5434868025644533,0.6492034096198441,0.63668527678603
4,4,0.1,lowrank_reg_BB,1.5434868025644533,0.6492106851230502,0.6366686183538158
4,5,0.1,lowrank_reg_BB,1.5434868025644533,0.6492082947378736,0.6366660007306124
