depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.01,variance,1.1303080975053017,1.0892387861417718,1.0904464496307145
0,2,0.01,variance,1.1303080975053017,1.5199554047681294,1.5059284003365794
0,3,0.01,variance,1.1303080975053017,1.5102499474196294,1.493747061345935
0,4,0.01,variance,1.1303080975053017,1.5119159606707586,1.4937622635555676
0,5,0.01,variance,1.1303080975053017,1.5119936081759744,1.4937482813246632
1,1,0.01,variance,1.241686956282101,1.1034541601544547,1.1044921735171833
1,2,0.01,variance,1.241686956282101,1.2170627157885892,1.2159438795881656
1,3,0.01,variance,1.241686956282101,1.4317847370438568,1.4047597403262688
1,4,0.01,variance,1.241686956282101,1.4844504168697472,1.4047539919740475
1,5,0.01,variance,1.241686956282101,1.4844457342541395,1.4047506845349393
2,1,0.01,variance,1.406148992641023,0.47719425191602294,0.4768225598381583
2,2,0.01,variance,1.406148992641023,0.5285936683947072,0.5248986295298691
2,3,0.01,variance,1.406148992641023,0.537725072241506,0.5249995192274908
2,4,0.01,variance,1.406148992641023,0.5357919817728594,0.5249535293411942
2,5,0.01,variance,1.406148992641023,0.5357919831704255,0.5248945733753552
3,1,0.01,variance,0.6195455276783146,0.5243811147653489,0.5235766511475904
3,2,0.01,variance,0.6195455276783146,0.4776221826992899,0.48014678895558327
3,3,0.01,variance,0.6195455276783146,0.34410087970829506,0.3594613818480035
3,4,0.01,variance,0.6195455276783146,0.34768954083205106,0.35945095308140856
3,5,0.01,variance,0.6195455276783146,0.34768946659210365,0.3594325485350935
4,1,0.01,variance,0.4570346560900847,0.48133725242455305,0.5609091613671799
4,2,0.01,variance,0.4570346560900847,0.49139307245199154,0.5094174965433557
4,3,0.01,variance,0.4570346560900847,0.36849117529498393,0.39874228265580347
4,4,0.01,variance,0.4570346560900847,0.3684885351871751,0.3987409311798672
4,5,0.01,variance,0.4570346560900847,0.3684920334135868,0.3987420450384882
