depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.0,lowrank_reg_BB,1.1315226720178038,1.091800302922903,1.0929086745132883
0,2,0.0,lowrank_reg_BB,1.1315226720178038,1.5708182867078067,1.556224642367064
0,3,0.0,lowrank_reg_BB,1.1315226720178038,1.5369927327883295,1.5218058980569846
0,4,0.0,lowrank_reg_BB,1.1315226720178038,1.531579589425959,1.5218296820748143
0,5,0.0,lowrank_reg_BB,1.1315226720178038,1.5316646733250832,1.5218087518694037
1,1,0.0,lowrank_reg_BB,1.1782752014150797,0.4130661535874661,0.4130429625886686
1,2,0.0,lowrank_reg_BB,1.1782752014150797,0.4460019561975752,0.4446067312056356
1,3,0.0,lowrank_reg_BB,1.1782752014150797,0.4588754392561954,0.4442959802936825
1,4,0.0,lowrank_reg_BB,1.1782752014150797,0.42375110407973193,0.4547790529758694
1,5,0.0,lowrank_reg_BB,1.1782752014150797,0.42380162672436733,0.4547276561361188
2,1,0.0,lowrank_reg_BB,1.1657496154272875,0.36850023319968284,0.36799027781175914
2,2,0.0,lowrank_reg_BB,1.1657496154272875,0.3831833720625348,0.38179700511212933
2,3,0.0,lowrank_reg_BB,1.1657496154272875,0.4044247602442658,0.38394052631911996
2,4,0.0,lowrank_reg_BB,1.1657496154272875,0.41184625183687934,0.39754949909657866
2,5,0.0,lowrank_reg_BB,1.1657496154272875,0.41184859975639165,0.39754103464131246
3,1,0.0,lowrank_reg_BB,1.251490769587073,0.5303294954130072,0.5288635657989719
3,2,0.0,lowrank_reg_BB,1.1342806687362323,0.27735831809391476,0.28072056989614447
3,3,0.0,lowrank_reg_BB,1.211041007054664,0.4497432506767655,0.44640168080895776
3,4,0.0,lowrank_reg_BB,1.211041007054664,0.4799684753210938,0.445157488309353
3,5,0.0,lowrank_reg_BB,1.211041007054664,0.4799699684369604,0.44516062088857355
4,1,0.0,lowrank_reg_BB,1.2366968735144048,1.0627647319794444,1.081828233030186
4,2,0.0,lowrank_reg_BB,1.209354990249588,0.5138653662481117,0.49759772512889583
4,3,0.0,lowrank_reg_BB,1.1597890371825141,0.34220759561306036,0.40976687464670136
4,4,0.0,lowrank_reg_BB,1.1597890371825141,0.3417935920303997,0.4097643664873899
4,5,0.0,lowrank_reg_BB,1.1597890371825141,0.3317923082378956,0.40931780049824024
