depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.1,lowrank,1.2059208411087599,1.1686267032230924,1.1699754167537135
0,2,0.1,lowrank,1.2059208411087599,1.456396594149512,1.4448228746065712
0,3,0.1,lowrank,1.2059208411087599,1.5267334361698754,1.5082504510364443
0,4,0.1,lowrank,1.2059208411087599,1.5526970753303457,1.5082513955057801
0,5,0.1,lowrank,1.2059208411087599,1.552707814331333,1.5082510786631973
1,1,0.1,lowrank,1.2217848934251205,1.250102708290364,1.2501312061908647
1,2,0.1,lowrank,1.3152732641670615,1.2332634780588096,1.2337509157796789
1,3,0.1,lowrank,1.3152732641670615,1.4623236816444714,1.4081400656218648
1,4,0.1,lowrank,1.3152732641670615,1.5206875827308772,1.4094228378286175
1,5,0.1,lowrank,1.3200205930618094,1.8441491449507772,1.7943305533419687
2,1,0.1,lowrank,1.166076568341703,0.7231818533511797,0.7228625464354151
2,2,0.1,lowrank,1.294497753611961,0.49493051249852743,0.49794113815860114
2,3,0.1,lowrank,1.294497753611961,0.512647975586759,0.5129804183615022
2,4,0.1,lowrank,1.294497753611961,0.5019146843329826,0.5130055355752288
2,5,0.1,lowrank,1.5655764357196038,1.7929382740838546,1.711332845407128
3,1,0.1,lowrank,1.0531451488115586,1.0088815456234292,1.0083423814615962
3,2,0.1,lowrank,1.5720777148204368,0.6505074213951823,0.6516464403522588
3,3,0.1,lowrank,1.5720777148204368,0.6410485308091854,0.6516464566832205
3,4,0.1,lowrank,1.5720777148204368,0.6434063021734523,0.6553880095375559
3,5,0.1,lowrank,1.6178294007075615,0.6835775190090058,0.6773976578707818
4,1,0.1,lowrank,0.9880850593087146,0.7525904681547555,0.7494012525374879
4,2,0.1,lowrank,1.2563158175471212,1.1481546647250997,0.7856207082272392
4,3,0.1,lowrank,1.2563158175471212,1.142010411520499,1.091952076134145
4,4,0.1,lowrank,1.706411506236721,1.1534117011112666,1.2262171552203152
4,5,0.1,lowrank,1.7983250845209058,1.0649769561947202,1.0674666722086217
