depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.01,lowrank,1.1303080975053017,1.0892387861417718,1.0904464496307145
0,2,0.01,lowrank,1.1303080975053017,1.5199554047681294,1.5059284003365794
0,3,0.01,lowrank,1.1303080975053017,1.5102499474196294,1.493747061345935
0,4,0.01,lowrank,1.1303080975053017,1.5119159606707586,1.4937622635555676
0,5,0.01,lowrank,1.1303080975053017,1.5119936081759744,1.4937482813246632
1,1,0.01,lowrank,1.1657375957971308,1.1202846764994057,1.1208857032152177
1,2,0.01,lowrank,1.241686956282101,1.2170627157885892,1.2159438795881656
1,3,0.01,lowrank,1.241686956282101,1.4317847370438568,1.4047597403262688
1,4,0.01,lowrank,1.241686956282101,1.4844504168697472,1.4047539919740475
1,5,0.01,lowrank,1.2218155499088104,1.695940888668323,1.6643705860599192
2,1,0.01,lowrank,1.1363310995700717,0.5989946144053147,0.5987100862004086
2,2,0.01,lowrank,1.253464836447969,0.4376985057890322,0.4406505704269733
2,3,0.01,lowrank,1.253464836447969,0.4207002997883679,0.422530709649119
2,4,0.01,lowrank,1.253464836447969,0.4150274793304147,0.4225262620097031
2,5,0.01,lowrank,1.4692726147047135,1.60165310112316,1.5277729863766998
3,1,0.01,lowrank,1.0812014820487907,0.8550962499739396,0.8544982260219954
3,2,0.01,lowrank,1.5023196085393198,0.5624651103752095,0.5663188999445021
3,3,0.01,lowrank,1.5023196085393198,0.4955093316882133,0.5663196304152257
3,4,0.01,lowrank,1.5023196085393198,0.4972226272745127,0.5686316465242967
3,5,0.01,lowrank,1.528337472551493,0.5036925095592357,0.565322325885511
4,1,0.01,lowrank,0.9509739424383961,0.5697800055666583,0.5657355661067857
4,2,0.01,lowrank,1.2665205710890794,0.9485870255493724,0.7852035016327035
4,3,0.01,lowrank,1.2665205710890794,0.943434225865289,0.7828144152305306
4,4,0.01,lowrank,1.639635915071611,0.9720439267250963,1.1582837248052456
4,5,0.01,lowrank,1.6882816809464884,0.7958841970188083,0.9002518701427167
