depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.1,variance,1.2059208411087599,1.1686267032230924,1.1699754167537135
0,2,0.1,variance,1.2059208411087599,1.456396594149512,1.4448228746065712
0,3,0.1,variance,1.2059208411087599,1.5267334361698754,1.5082504510364443
0,4,0.1,variance,1.2059208411087599,1.5526970753303457,1.5082513955057801
0,5,0.1,variance,1.2059208411087599,1.552707814331333,1.5082510786631973
1,1,0.1,variance,1.3317565171306518,1.957138052749639,1.9359788247938472
1,2,0.1,variance,1.3317565171306518,1.824872067831882,1.811665523022848
1,3,0.1,variance,1.3317565171306518,1.9009228810695327,1.8116625237416164
1,4,0.1,variance,1.3317565171306518,1.9716418513405427,1.8767876610890848
1,5,0.1,variance,1.3317565171306518,1.971631217676117,1.8767809462900509
2,1,0.1,variance,1.508517958734909,0.7023673863551071,0.7020015409472863
2,2,0.1,variance,1.508517958734909,0.67094237966278,0.6706049478628724
2,3,0.1,variance,1.508517958734909,0.6559618732905735,0.68772946673755
2,4,0.1,variance,1.508517958734909,0.6732091400902456,0.687202402945534
2,5,0.1,variance,1.508517958734909,0.6732029058817735,0.6560717597612824
3,1,0.1,variance,0.7457068419842837,0.6424052358442868,0.5974507034459685
3,2,0.1,variance,0.7457068419842837,0.6579299927065425,0.4927454041889466
3,3,0.1,variance,0.7457068419842837,0.7419982789222561,0.6696146867376787
3,4,0.1,variance,0.7457068419842837,0.7030220129617952,0.6970382620232555
3,5,0.1,variance,0.7457068419842837,0.7030220546804007,0.6970529258255855
4,1,0.1,variance,0.5961586795071243,0.7713757504683795,0.6527895162292775
4,2,0.1,variance,0.5961586795071243,0.7697779192412609,0.7132421863008054
4,3,0.1,variance,0.5961586795071243,0.7170544280014937,0.8010228988180311
4,4,0.1,variance,0.5961586795071243,0.6333018942486974,0.7350291334778967
4,5,0.1,variance,0.5961586795071243,0.6333053076700742,0.800049720067149
